error_message,error_type
'Connection timed out','Network'
'Database table not found','Database'
'Memory limit exceeded','Resource'
'Disk full','Storage'
'404 Not Found','HTTP'
'Permission denied','Security'
'Connection timed out','Network'
'Database table not found','Database'
'Memory limit exceeded','Resource'
'Disk full','Storage'
'404 Not Found','HTTP'
'Permission denied','Security'
'Invalid input data','Application'
'Configuration file missing','Configuration'
'Authentication failed','Authentication'
'API rate limit exceeded','API'
'File not found','File System'
'Service unavailable','Network'
'SQL syntax error','Database'
'Out of disk space','Storage'
'Internal server error','HTTP'
'Access denied','Security'
'Invalid API key','API'
'Failed to write to log file','File System'
'Connection refused','Network'
'Duplicate entry','Database'
'CPU usage high','Resource'
'Read-only file system','Storage'
'500 Internal Server Error','HTTP'
'Unauthorized access attempt','Security'
'Invalid configuration value','Configuration'
'API endpoint not found','API'
'Directory not writable','File System'
'Network unreachable','Network'
'Deadlock found','Database'
'Too many open files','Resource'
'Quota exceeded','Storage'
'Bad request','HTTP'
'Login failed','Authentication'
'Missing environment variable','Configuration'
'API response parsing error','API'
'Corrupted file','File System'
'DNS resolution failed','Network'
'Constraint violation','Database'
'Heap space exhausted','Resource'
'No space left on device','Storage'
'Gateway timeout','HTTP'
'Invalid token','Authentication'
'Malformed request body','Application'
'SSL handshake failed','Network'
'Connection reset by peer','Network'
'Table locked','Database'
'Thread pool exhausted','Resource'
'Inconsistent data state','Application'
'Invalid credentials','Authentication'
'Service not responding','Network'
'Primary key violation','Database'
'Too many connections','Resource'
'File system corruption detected','Storage'
'Request entity too large','HTTP'
'Brute force attempt detected','Security'
'Missing required parameter','Application'
'Invalid database credentials','Database'
'High memory consumption','Resource'
'Temporary file creation failed','Storage'
'Service temporarily unavailable','Network'
'Foreign key constraint failed','Database'
'Resource not found','HTTP'
'Invalid session','Authentication'
'Unexpected error occurred','Application'
'Network cable unplugged','Network'
'Connection pool exhausted','Database'
'Too many requests','HTTP'
'Expired token','Authentication'
'Permission denied to write file','File System'
'Failed to connect to host','Network'
'Database connection lost','Database'
'Disk I/O error','Storage'
'Client certificate required','Security'
'Invalid JSON format','Application'
'Network interface down','Network'
'Schema mismatch','Database'
'Low disk space warning','Storage'
'Forbidden access','HTTP'
'Account locked','Authentication'
'Invalid header value','Application'
'Packet loss detected','Network'
'Transaction failed','Database'
'Insufficient permissions','Security'
'Invalid XML format','Application'
'Connection refused by server','Network'
'Query execution failed','Database'
'File handle limit exceeded','Resource'
'Filesystem full','Storage'
'Method Not Allowed','HTTP'
'Rate limit exceeded','API'
'Invalid URL','Application'
'Broken pipe','Network'
'Deadlock detected','Database'
'Out of memory','Resource'
'No free inodes','Storage'
'Precondition Failed','HTTP'
'Security vulnerability detected','Security'
'Missing required field','Application'
'Host unreachable','Network'
'Database server offline','Database'
'Swap space exhausted','Resource'
'Write protected disk','Storage'
'Not Implemented','HTTP'
'Weak password detected','Security'
'Invalid request parameter','Application'
'Connection dropped','Network'
'Constraint violation on insert','Database'
'CPU overload','Resource'
'Corrupted filesystem','Storage'
'Unsupported Media Type','HTTP'
'Cross-site scripting (XSS) detected','Security'
'Invalid data type','Application'
'Socket error','Network'
'Table does not exist','Database'
'Too many processes','Resource'
'Storage device offline','Storage'
'Service Unavailable','HTTP'
'SQL injection attempt','Security'
'Invalid argument','Application'
'Timeout waiting for response','Network'
'Database operation failed','Database'
'High I/O wait','Resource'
'Filesystem corruption','Storage'
'Bad Gateway','HTTP'
'Sensitive data exposure','Security'
'Invalid state transition','Application'
'DNS lookup failed','Network'
'Duplicate key error','Database'
'Memory leak detected','Resource'
'Read-only file system detected','Storage'
'Service not found','HTTP'
'Privilege escalation attempt','Security'
'Missing configuration file','Configuration'
'Network latency high','Network'
'Database deadlock','Database'
'File system error','Storage'
'Unauthorized','HTTP'
'Broken authentication','Security'
'Invalid API version','API'
'Connection reset by peer','Network'
'Query timeout','Database'
'Resource unavailable','Resource'
'Disk quota exceeded','Storage'
'Too Many Requests','HTTP'
'Missing CSRF token','Security'
'Invalid payload','Application'
'Network adapter error','Network'
'Database connection error','Database'
'High CPU usage','Resource'
'Filesystem full','Storage'
'Internal Server Error','HTTP'
'SQL syntax error','Database'
'Permission denied','Security'
'Invalid input','Application'
'Connection refused','Network'
'Table not found','Database'
'Out of memory','Resource'
'Disk full','Storage'
'Not Found','HTTP'
'Access denied','Security'
'Invalid API key','API'
'Failed to write file','File System'
'Connection timed out','Network'
'Database error','Database'
'Memory limit exceeded','Resource'
'Disk I/O error','Storage'
'Bad Request','HTTP'
'Authentication failed','Authentication'
'Configuration error','Configuration'
'API limit exceeded','API'
'File not found','File System'
'Service unavailable','Network'
